PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Inhibition_Primary at 6 uM
RESULT_TYPE,,,,,,,FLOAT
RESULT_DESCR,,,,,,,%Inhibition in the primary screen at 6 micromolar test compound concentration; relative to Rhok2 in the presence of 13 micromolar Y-27632.
RESULT_UNIT,,,,,,,NONE
12874,857961,659310,Inactive,4,,,7.6
12875,857962,659311,Inactive,0,,,-4.5
12876,857963,659312,Inactive,0,,,-0.1
12877,857964,566195,Inactive,0,,,-10.1
12878,857965,5389123,Inactive,0,,,0.3
12879,857966,659314,Inactive,0,,,-18.7
12880,857967,659315,Inactive,4,,,7.2
12881,857968,5389124,Inactive,0,,,-0.5
12882,857969,659317,Inactive,2,,,3.5
12883,857970,659318,Inactive,1,,,2.4
12884,857971,919678,Inactive,1,,,3.2
12885,857972,659320,Inactive,0,,,0.8
12886,857973,659321,Inactive,3,,,6
12887,857974,659322,Inactive,0,,,-1.1
12888,857975,659323,Inactive,4,,,7.5
12889,857976,659324,Inactive,5,,,8.8
12890,857977,659325,Inactive,3,,,6.1
12891,857978,659326,Inactive,3,,,6.7
12892,857979,659327,Inactive,2,,,3.5
12893,857980,659328,Inactive,2,,,4.7
12894,857981,659329,Inactive,4,,,7.4
12895,857982,659330,Inactive,7,,,12.7
12896,857983,616556,Inactive,0,,,-1
12897,857984,659331,Inactive,1,,,2.9
12898,857985,659332,Inactive,1,,,3.1
12899,857986,659333,Inactive,8,,,13.6
12900,857987,659334,Inactive,4,,,7.5
12901,857988,659335,Inactive,4,,,7.5
12902,857989,659336,Inactive,0,,,-0.8
12903,857990,659337,Inactive,0,,,-5.4
12904,857991,659338,Inactive,2,,,4.7
12905,857992,659339,Inactive,3,,,5.7
12906,857993,659340,Inactive,0,,,-13.5
12907,857994,659341,Inactive,2,,,4.6
12908,857995,659342,Inactive,0,,,1.2
12909,857996,659343,Inactive,2,,,5
12910,857997,659344,Inactive,1,,,2.6
12911,857998,659345,Inactive,4,,,7.8
12912,857999,659346,Inactive,0,,,-7
12913,858000,659347,Inactive,3,,,5.5
12914,858001,659348,Inactive,0,,,-0.2
12915,858002,659349,Inactive,1,,,2.1
12916,858003,659350,Inactive,0,,,-1.9
12917,858004,659351,Inactive,1,,,1.8
12918,858005,659352,Inactive,0,,,-10.7
12919,858006,659353,Inactive,6,,,10.9
12920,858007,659354,Inactive,1,,,3.2
12921,858008,659355,Inactive,3,,,6
12922,858009,5389125,Inactive,0,,,-1.5
12923,858010,659357,Inactive,4,,,6.9
12924,858011,659358,Inactive,2,,,4.2
12925,858012,4891,Inactive,7,,,13
12926,858013,6603570,Inactive,4,,,7.6
12927,858014,6603256,Inactive,4,,,7.2
12928,858015,659363,Inactive,5,,,9.7
12929,858016,6603247,Inactive,0,,,0.8
12930,858017,6603391,Inactive,5,,,9.1
12931,858018,2838016,Inactive,7,,,12.2
12932,858019,6603546,Inactive,1,,,2.1
12933,858020,6603194,Inactive,0,,,-0.4
12934,858021,6603479,Inactive,0,,,-9.5
12935,858022,6462249,Inactive,5,,,8.6
12936,858023,6603433,Inactive,0,,,-2.3
12937,858024,54686767,Inactive,0,,,-2.1
12938,858025,659382,Inactive,0,,,-11.1
12939,858026,659383,Inactive,5,,,9.2
12940,858027,659384,Inactive,2,,,3.9
12941,858028,659385,Inactive,1,,,2.4
12942,858029,5389126,Inactive,7,,,12.5
12943,858030,5389127,Inactive,1,,,2.6
12944,858031,659388,Inactive,2,,,4.3
12945,858032,659389,Inactive,2,,,5
12946,858033,659390,Inactive,2,,,4.2
12947,858034,593113,Inactive,0,,,-7.4
12948,858035,659391,Inactive,2,,,4.4
12949,858037,659393,Inactive,4,,,6.8
12950,858038,659394,Inactive,1,,,3.2
12951,858039,659395,Inactive,1,,,3.3
12952,858040,659396,Inactive,5,,,10
12953,858041,659397,Inactive,1,,,2.3
12954,858042,659398,Inactive,2,,,5
12955,858043,659399,Inactive,0,,,-0.9
12956,858044,659400,Inactive,0,,,-8.3
12957,858045,659401,Inactive,3,,,5.8
12958,858046,659402,Inactive,4,,,7
12959,858047,659403,Inactive,3,,,5.8
12960,858048,659404,Inactive,3,,,5.7
12961,858049,659405,Inactive,0,,,-4.7
12962,858050,659406,Inactive,3,,,5.7
12963,858051,5389129,Inactive,9,,,16.9
12964,858052,659408,Inactive,0,,,-0.1
12965,858053,659409,Inactive,0,,,-9.8
12966,858054,659410,Inactive,0,,,-4.1
12967,858055,659411,Inactive,0,,,-1.4
12968,858056,659412,Inactive,3,,,5.5
